rank,gene,log2fc_a_vs_b,score,pct_expr_a,pct_expr_b,mean_a,mean_b,result_mode,color_column,group_a_label,group_a_kind,group_a_column,group_a_value,group_a_n_cells,group_a_scope,group_a_restriction_column,group_a_restriction_value,group_b_label,group_b_kind,group_b_column,group_b_value,group_b_n_cells,group_b_scope,group_b_restriction_column,group_b_restriction_value,loaded_gene_count,total_gene_count,exported_at
26,Ank1,0.46777955000578886,5.1926124218444665,0.18879821958456974,0.1574034789987272,0.9015031852248161,0.6518556064197862,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
27,Lmnb1,0.40149856891729263,5.191240712376099,0.23664688427299704,0.2044972422571065,1.1273955429520026,0.853518772388243,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
28,Hmox1,0.4556739008675961,5.1641008223695355,0.19362017804154302,0.16504030547305898,0.9584552979080189,0.6988760883847586,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
29,Supt16,0.6932379378405273,5.0892154276431345,0.09866468842729971,0.07085277895630038,0.45050414671530004,0.27862031873525783,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
30,Cit,0.7599610174453459,5.021082115206799,0.081973293768546,0.058124734832414086,0.38412002038531207,0.22682718204956315,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
31,Spta1,0.5517698400056891,4.815949861912683,0.12648367952522255,0.10352142554094187,0.6087291803133594,0.41526422269980584,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
32,Mki67,0.2885493682910412,4.797662436110719,0.3293768545994065,0.3101400084853628,1.6303601893720712,1.334816258895382,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
33,Cbx3,0.4484848738076634,4.645831087214936,0.168026706231454,0.14000848536274926,0.7872781964897756,0.576926679696175,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
34,Trp53,0.5439502943809817,4.616828074708289,0.12091988130563798,0.09800593975392448,0.5587989653430282,0.383274461942858,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
35,Birc5,0.6417268974468988,4.612310748884108,0.09161721068249258,0.07085277895630038,0.4296119541195097,0.2753573959036606,full-sidecar,leiden,leiden = 0,annotation,leiden,0,2696,all,,,leiden = 1,annotation,leiden,1,2357,all,,,4671,4671,2026-05-20T11:23:18.294Z
