rank,gene,log2fc_a_vs_b,score,pct_expr_a,pct_expr_b,mean_a,mean_b,result_mode,color_column,region_a_id,region_a_label,region_a_section_id,region_a_n_cells,region_b_id,region_b_label,region_b_section_id,region_b_n_cells,loaded_gene_count,total_gene_count,exported_at
11,Drd1,5.0302697510609375,22.804066834435233,0.33213256484149856,0.0196319018404908,0.35450915221436224,0.010847422614663168,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
12,Cd4,10.766284331441662,20.566004638784104,0.28170028818443804,0.00040899795501022495,0.1940714247975638,0.00011042670969582774,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
13,Akap5,2.244275536789705,20.554813317406996,0.42219020172910665,0.1296523517382413,0.35361267606961283,0.07463267000662525,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
14,Mme,3.9894529505829963,20.361312563603033,0.30979827089337175,0.026175869120654397,0.22895359464784176,0.014413658534090943,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
15,Gad2,1.979197444215787,20.304287583507193,0.4697406340057637,0.12024539877300613,0.39905442849273987,0.101211796606489,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
16,Hrh3,3.955133270039737,20.286242895609274,0.3134005763688761,0.029447852760736196,0.22772222370854028,0.014681282365248979,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
17,Lrrk2,3.2874035215070765,20.01155294839702,0.3371757925072046,0.050715746421267895,0.2443132584737426,0.02502213654952059,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
18,Sv2c,3.039211015217737,19.97841697348841,0.3451008645533141,0.044171779141104296,0.2525117573159229,0.03071676725502638,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
19,Gpr6,8.070834750747728,18.869630912749045,0.23847262247838616,0.0016359918200408998,0.23232014860517697,0.0008630231845598279,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
20,Ric8b,2.027364676401491,18.770995724920677,0.39985590778097985,0.13824130879345603,0.3194760224682625,0.07836759276916644,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
21,Six3,7.565433244373747,18.661501272621162,0.25144092219020175,0.002044989775051125,0.172565088674469,0.0009100309239818518,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
22,Pdyn,2.8145050637632045,18.193705700703322,0.3076368876080692,0.05807770961145194,0.30002400766446197,0.042647818888867074,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
23,Drd2,6.678018359614752,17.869908488738066,0.22838616714697407,0.004498977505112475,0.18479825719460974,0.0018037472278306333,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
24,Lrrtm3,2.45171017604557,17.817220708023026,0.3400576368876081,0.06912065439672802,0.2563418393433953,0.04685690707102388,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
25,B3gnt2,1.913620646049039,17.764285484759185,0.39481268011527376,0.12842535787321063,0.3129406502250292,0.08306172096412362,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
26,Rxrg,6.204639179935323,17.141229992057838,0.2211815561959654,0.0036809815950920245,0.1536128753715702,0.0020818017804061953,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
27,Sh3rf2,16.970281260311484,16.663711693702844,0.2017291066282421,0,0.12839860692405564,0,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
28,Gpr83,2.456610711523218,16.498169178841096,0.3004322766570605,0.07770961145194274,0.2166067414651343,0.03945930722666664,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
29,Chrm4,3.758842487393415,15.922010935210931,0.22046109510086456,0.029447852760736196,0.16273435434965305,0.012020469979518274,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
30,Syt6,5.179967692134558,15.866949796387864,0.207492795389049,0.005316973415132925,0.12965604033782777,0.0035756006562636675,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
31,Rarb,4.376548437854775,15.423001216564593,0.1952449567723343,0.012269938650306749,0.1252096821084318,0.0060269414342498,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
32,Dlx6,4.603635017813958,15.120771230699196,0.18371757925072046,0.00899795501022495,0.11185952174002224,0.004599919250893934,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
33,Htr1b,6.208233190876261,15.03928007206357,0.1829971181556196,0.0032719836400817996,0.11552826323753132,0.0015615272253812701,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
34,Bcl11b,1.2925765552294566,14.757189153830653,0.43515850144092216,0.1950920245398773,0.35325192591384785,0.14420437654042292,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
35,Sema3a,4.8982269506433225,14.703942863067654,0.1786743515850144,0.005316973415132925,0.10789453313398774,0.0036171804907863124,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
36,Gabrd,2.4632850664591954,14.573708863580912,0.24927953890489912,0.04621676891615542,0.1585216441591638,0.028744417112054024,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
37,Efnb2,3.2746346077811808,14.455484017365956,0.20461095100864554,0.022494887525562373,0.13062504339716277,0.013496910081319282,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
38,Npas2,2.2777127999737923,14.427524679938148,0.2716138328530259,0.05848670756646217,0.18413393037334644,0.037972122266248694,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
39,Foxp2,6.28925541095125,14.423555970460813,0.16066282420749278,0.0036809815950920245,0.10572831070732315,0.0013508884940898248,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
40,Mtcl1,2.6035385835250753,14.380832927875039,0.23270893371757925,0.0408997955010225,0.14375851221747632,0.023652389426172878,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
41,Dach1,4.347571360175969,14.317537038033814,0.18011527377521613,0.007770961145194274,0.10945100384504032,0.005375186541329132,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
42,Pld5,4.47267214995604,14.103583825845874,0.16786743515850144,0.006952965235173824,0.10004121502083042,0.004504830193665862,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
43,Kcnk2,1.638142463525948,13.494338368768549,0.30547550432276654,0.11042944785276074,0.22266605263441716,0.07153521237746338,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
44,Actn1,1.2653172342569037,13.415720337672088,0.37896253602305474,0.1950920245398773,0.29025526334040447,0.12074789314974549,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
45,Gabrg3,1.9644332301538097,13.153076859306287,0.2564841498559078,0.06421267893660532,0.17866991135031415,0.04578160771563009,full-sidecar,cell_class_updated,1,Annotation 1,RB4630,1388,2,Annotation 2,RB4630,2445,5101,5101,2026-04-16T13:29:06.829Z
